"2017-06-01 110003","0.051638","122.711245","2.936283","0.220000","router"
"2017-06-01 110103","0.052443","122.900140","2.947823","0.220000","router"
"2017-06-01 110203","0.052008","123.016806","2.917356","0.220000","router"
"2017-06-01 110303","0.051931","122.750264","2.921973","0.220000","router"
"2017-06-01 110403","0.052513","122.891158","2.966156","0.220000","router"
"2017-06-01 110503","0.051297","122.946461","2.901068","0.220000","router"
"2017-06-01 110603","0.050520","122.648055","2.962001","0.220000","router"
"2017-06-01 110703","0.051772","122.502144","2.942284","0.220000","router"
"2017-06-01 110804","0.052014","122.486370","2.919269","0.220000","router"
"2017-06-01 110904","0.051558","122.462242","2.936876","0.220000","router"
"2017-06-01 111004","0.052012","122.572561","2.923292","0.221000","router"
"2017-06-01 111104","0.051944","122.525024","2.943273","0.221000","router"
"2017-06-01 111204","0.052665","122.972377","2.941888","0.221000","router"
"2017-06-01 111304","0.052424","123.471956","2.942548","0.221000","router"
"2017-06-01 111404","0.052479","124.108169","2.987193","0.221000","router"
"2017-06-01 111504","0.051550","123.782848","2.908454","0.221000","router"
"2017-06-01 111604","0.051630","123.957018","2.952769","0.221000","router"
"2017-06-01 111704","0.051710","123.942295","2.916367","0.221000","router"
"2017-06-01 111805","0.051592","123.878928","2.898034","0.221000","router"
"2017-06-01 111905","0.052108","123.671175","2.919335","0.221000","router"
"2017-06-01 112005","0.051387","123.562681","2.923028","0.221000","router"
"2017-06-01 112105","0.050759","123.760245","2.883658","0.221000","router"
"2017-06-01 112205","0.051883","123.854692","2.966684","0.221000","router"
"2017-06-01 112305","0.051173","123.718375","2.928963","0.221000","router"
"2017-06-01 112405","0.051453","123.754858","2.952769","0.221000","router"
"2017-06-01 112505","0.050733","123.835949","2.887879","0.221000","router"
"2017-06-01 112605","0.051620","123.805301","2.953494","0.221000","router"
"2017-06-01 112706","0.051512","123.559813","2.890385","0.221000","router"
"2017-06-01 112806","0.051455","123.635580","2.926061","0.221000","router"
"2017-06-01 112906","0.052396","123.811068","2.914851","0.221000","router"
"2017-06-01 113006","0.051665","123.554198","2.875349","0.222000","router"
"2017-06-01 113106","0.051947","123.593526","2.911026","0.222000","router"
"2017-06-01 113206","0.051499","123.682890","2.891176","0.222000","router"
"2017-06-01 113306","0.052295","123.456620","3.029793","0.222000","router"
"2017-06-01 113406","0.053943","123.613094","2.920258","0.222000","router"
"2017-06-01 113507","0.052489","123.740382","2.974135","0.222000","router"
"2017-06-01 113607","0.052075","123.579675","2.985544","0.222000","router"
"2017-06-01 113707","0.051571","123.367557","2.921643","0.222000","router"
"2017-06-01 113807","0.051975","123.668118","2.867436","0.222000","router"
"2017-06-01 113907","0.054415","123.535450","2.997150","0.222000","router"
"2017-06-01 114008","0.053602","123.198074","2.966354","0.222000","router"
"2017-06-01 114108","0.052638","123.117151","2.925336","0.222000","router"
"2017-06-01 114208","0.052854","123.204675","2.952769","0.222000","router"
"2017-06-01 114308","0.054511","123.302114","2.891967","0.222000","router"
"2017-06-01 114408","0.053156","123.304997","2.904827","0.222000","router"
"2017-06-01 114509","0.054978","123.302171","3.004668","0.222000","router"
"2017-06-01 195212","0.020746","124.483665","0","0","router"
"2017-06-01 195312","0.020935","124.575598","0","0","router"
